feature,importance
trip_distance,0.21102999999999997
speed_mph,0.19305999999999995
Manhattan→Manhattan,0.05274000000000001
PU:Manhattan,0.03050999999999997
Queens→Queens,0.010549999999999993
hour,0.008669999999999978
PU:Queens,0.005770000000000009
DO:Bronx,0.004739999999999989
PU:Staten Island,0.003889999999999971
Queens→Manhattan,0.003349999999999964
duration_min,0.003259999999999974
PU:Bronx,0.0029999999999999805
Staten Island→Staten Island,0.0024899999999999922
Brooklyn→Brooklyn,0.002289999999999992
Manhattan→Queens,0.0015499999999999624
Bronx→Bronx,0.0010500000000000175
Queens→Brooklyn,0.000990000000000002
dow,0.0008199999999999763
DO:Staten Island,0.0006399999999999739
PU:Brooklyn,0.0005999999999999784
DO:Queens,0.0005599999999999827
DO:Brooklyn,0.00037999999999995817
Manhattan→Bronx,0.00035999999999996034
Brooklyn→Queens,0.0002499999999999947
Manhattan→Brooklyn,0.00019999999999997797
